                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.89548,                0.73759,                 1.3164,                0.88341,                0.81806,                0.89015,                 0.6756,                0.94819,                0.71343,                 1.4855,              0.0006733,              0.0006733,              0.0006733
                     36,                0.90024,                0.70977,                 1.3223,                0.91259,                 0.8584,                0.89105,                0.69148,                0.94461,                 0.7228,                  1.452,              0.0006634,              0.0006634,              0.0006634
                     37,                0.88505,                0.70651,                 1.3094,                0.84378,                0.83704,                0.88407,                0.68985,                0.93428,                0.71964,                 1.4645,              0.0006535,              0.0006535,              0.0006535
                     38,                0.88157,                 0.6974,                 1.3098,                0.88061,                0.82734,                0.87809,                0.63705,                 1.0013,                0.79453,                 1.5152,              0.0006436,              0.0006436,              0.0006436
                     39,                0.87654,                0.68619,                 1.3163,                0.90276,                0.84479,                0.90586,                0.69561,                0.90291,                0.67695,                 1.4196,              0.0006337,              0.0006337,              0.0006337
                     40,                0.89472,                0.69902,                  1.309,                0.88815,                0.83897,                 0.8983,                0.69402,                 0.9009,                0.71795,                  1.427,              0.0006238,              0.0006238,              0.0006238
                     41,                0.86253,                0.67094,                 1.2897,                0.89794,                0.88088,                0.89119,                0.69219,                0.89217,                0.68064,                 1.4195,              0.0006139,              0.0006139,              0.0006139
                     42,                0.88139,                0.67625,                 1.3013,                0.87855,                0.83868,                0.89878,                0.69953,                 0.8931,                0.69973,                 1.4447,               0.000604,               0.000604,               0.000604
                     43,                0.85253,                0.67387,                 1.2845,                  0.893,                0.85248,                0.89065,                 0.7106,                0.86519,                0.69725,                 1.4055,              0.0005941,              0.0005941,              0.0005941
                     44,                0.84244,                0.66359,                 1.2816,                0.88591,                0.88152,                0.90503,                 0.7159,                 0.8566,                0.67644,                 1.3987,              0.0005842,              0.0005842,              0.0005842
                     45,                0.84554,                0.64267,                 1.2844,                0.89976,                0.87119,                0.88207,                 0.6863,                0.90819,                0.72353,                 1.4366,              0.0005743,              0.0005743,              0.0005743
                     46,                 0.8451,                0.63489,                 1.2733,                 0.8802,                0.85709,                0.88474,                 0.6944,                0.90108,                 0.7016,                  1.442,              0.0005644,              0.0005644,              0.0005644
                     47,                0.85907,                0.64341,                 1.2883,                0.90009,                0.86096,                 0.9071,                0.71853,                0.85824,                0.63815,                 1.3891,              0.0005545,              0.0005545,              0.0005545
                     48,                0.83859,                0.63218,                 1.2761,                0.84651,                0.87788,                0.89444,                0.70254,                0.89714,                0.68869,                 1.4264,              0.0005446,              0.0005446,              0.0005446
                     49,                0.83028,                0.62261,                 1.2733,                0.91121,                0.87082,                0.89311,                0.70057,                0.86415,                0.64741,                 1.4043,              0.0005347,              0.0005347,              0.0005347
                     50,                0.81469,                0.60394,                 1.2633,                0.90845,                0.88601,                0.90545,                0.71321,                0.86566,                0.64131,                 1.3993,              0.0005248,              0.0005248,              0.0005248
                     51,                0.80839,                0.61218,                 1.2605,                0.92306,                0.84525,                0.89815,                0.71849,                0.85894,                0.63713,                 1.3789,              0.0005149,              0.0005149,              0.0005149
                     52,                0.81984,                0.62115,                 1.2499,                0.91787,                0.87447,                0.90584,                 0.7172,                0.85377,                0.63461,                 1.3801,               0.000505,               0.000505,               0.000505
                     53,                0.83246,                 0.6201,                 1.2759,                0.90972,                0.85681,                0.89252,                 0.7073,                0.90144,                0.64101,                 1.4409,              0.0004951,              0.0004951,              0.0004951
                     54,                0.83385,                0.61845,                 1.2707,                 0.9165,                0.83494,                0.90109,                 0.6966,                0.88171,                0.68209,                 1.4041,              0.0004852,              0.0004852,              0.0004852
                     55,                0.80015,                0.60328,                 1.2499,                 0.9307,                  0.874,                 0.8911,                0.71599,                0.84959,                0.63603,                 1.3962,              0.0004753,              0.0004753,              0.0004753
                     56,                0.79644,                0.58383,                  1.244,                0.88031,                0.86359,                0.88578,                0.69095,                0.87761,                0.67955,                 1.4218,              0.0004654,              0.0004654,              0.0004654
                     57,                0.80119,                0.58847,                 1.2559,                0.90518,                0.87807,                 0.8989,                0.70455,                0.89739,                0.60951,                 1.4263,              0.0004555,              0.0004555,              0.0004555
                     58,                0.79582,                0.58373,                 1.2543,                0.90997,                0.85856,                0.90014,                0.69395,                0.91002,                0.66249,                 1.4557,              0.0004456,              0.0004456,              0.0004456
                     59,                0.79763,                0.57309,                 1.2498,                0.89301,                0.87702,                0.90383,                0.70186,                0.89367,                0.64818,                  1.423,              0.0004357,              0.0004357,              0.0004357
                     60,                0.77628,                0.55373,                 1.2394,                 0.9241,                0.86276,                0.90501,                0.71658,                0.89219,                0.63581,                 1.4252,              0.0004258,              0.0004258,              0.0004258
                     61,                0.78403,                0.56862,                 1.2394,                 0.9275,                0.87077,                0.91132,                0.71925,                0.87878,                0.57553,                 1.4168,              0.0004159,              0.0004159,              0.0004159
                     62,                0.78119,                0.54205,                 1.2367,                0.92479,                0.87163,                0.91517,                0.72538,                0.85703,                0.59627,                 1.3947,               0.000406,               0.000406,               0.000406
                     63,                0.75724,                0.53783,                 1.2216,                0.91841,                0.83622,                0.90637,                0.70749,                0.86911,                0.62176,                 1.4043,              0.0003961,              0.0003961,              0.0003961
                     64,                0.77773,                0.55375,                 1.2298,                0.92498,                0.86185,                0.90279,                0.71118,                0.84544,                0.63149,                 1.3772,              0.0003862,              0.0003862,              0.0003862
                     65,                0.76226,                0.53722,                 1.2192,                0.88307,                0.86731,                0.90042,                0.72443,                0.85057,                 0.6075,                 1.3941,              0.0003763,              0.0003763,              0.0003763
                     66,                 0.7643,                0.53657,                 1.2241,                0.92617,                0.89206,                0.91373,                0.73795,                0.84773,                0.58585,                 1.3812,              0.0003664,              0.0003664,              0.0003664
                     67,                0.76588,                0.54366,                 1.2194,                0.89795,                0.86297,                0.89896,                0.71431,                0.85189,                0.65193,                 1.3914,              0.0003565,              0.0003565,              0.0003565
                     68,                0.74381,                0.52874,                 1.2128,                 0.8874,                0.86871,                 0.9069,                0.72137,                0.85653,                 0.6119,                 1.4032,              0.0003466,              0.0003466,              0.0003466
                     69,                0.75658,                0.52798,                 1.2256,                 0.8738,                0.86856,                0.90909,                0.72422,                0.85414,                0.62321,                 1.3985,              0.0003367,              0.0003367,              0.0003367
                     70,                0.76269,                 0.5371,                 1.2278,                0.91204,                0.86557,                 0.8978,                0.71617,                0.84632,                0.59508,                 1.3826,              0.0003268,              0.0003268,              0.0003268
                     71,                0.73486,                0.51325,                 1.2109,                0.91046,                0.86374,                0.88915,                0.70879,                0.86692,                0.59262,                 1.4059,              0.0003169,              0.0003169,              0.0003169
